Quantity of product,Income,Cost,Net Income,Avg Cost
5998,335888,559939.96,-224051.95999999996,93.35
5968,334208,559971.64,-225763.64,93.83
5971,334376,559933.3,-225557.30000000005,93.78
5988,335328,559998.88,-224670.88,93.52
6028,337568,559954.15,-222386.15000000002,92.89
5980,334880,559936.78,-225056.78000000003,93.63
5990,335440,559925.86,-224485.86,93.48
5994,335664,559933.03,-224269.03000000003,93.42
6041,338296,559954.0,-221658.0,92.69
5984,335104,559991.36,-224887.36,93.58
6009,336504,560019.4,-223515.40000000002,93.2
6006,336336,559953.1,-223617.09999999998,93.23
6020,337120,559943.69,-222823.68999999994,93.01
5993,335608,559946.24,-224338.24,93.43
5973,334488,559967.3600000001,-225479.3600000001,93.75
5975,334600,559988.5,-225388.5,93.72
5946,332976,559950.05,-226974.05000000005,94.17
5964,333984,560009.8,-226025.80000000005,93.9
6009,336504,560019.4,-223515.40000000002,93.2
6038,338128,559935.69,-221807.68999999994,92.74
6022,337232,560023.0,-222791.0,93.0
5961,333816,559988.1699999999,-226172.16999999993,93.94
6013,336728,560025.4099999999,-223297.40999999992,93.14
6014,336784,559965.28,-223181.28000000003,93.11
6038,338128,559935.69,-221807.68999999994,92.74
6022,337232,560023.0,-222791.0,93.0
5985,335160,559931.52,-224771.52000000002,93.56
5992,335552,559959.4299999999,-224407.42999999993,93.45
5986,335216,560025.0800000001,-224809.08000000007,93.56
5995,335720,559979.74,-224259.74,93.41
5962,333872,559928.56,-226056.56000000006,93.92
5997,335832,559953.24,-224121.24,93.37
5952,333312,559982.0800000001,-226670.08000000007,94.08
6017,336952,559971.01,-223019.01,93.06
6010,336560,559959.31,-223399.31000000006,93.17
6024,337344,559995.52,-222651.52000000002,92.96
5995,335720,559979.74,-224259.74,93.41
5975,334600,559988.5,-225388.5,93.72
6053,338968,559965.52,-220997.52000000002,92.51
5973,334488,560014.24,-225526.24,93.76
6024,337344,559995.52,-222651.52000000002,92.96
5991,335496,559972.6000000001,-224476.6000000001,93.47
6020,337120,559990.2,-222870.19999999995,93.02
6017,336952,559971.01,-223019.01,93.06
6034,337904,559931.2,-222027.19999999995,92.8
5998,335888,559986.64,-224098.64,93.36
5998,335888,559986.64,-224098.64,93.36
6007,336392,559986.27,-223594.27000000002,93.22
6016,336896,559984.64,-223088.64,93.08
5999,335944,559926.66,-223982.66000000003,93.34
6014,336784,559965.28,-223181.28000000003,93.11
5999,335944,559926.66,-223982.66000000003,93.34
6031,337736,560019.3300000001,-222283.33000000007,92.86
6024,337344,559949.04,-222605.04000000004,92.95
5981,334936,559923.8,-224987.80000000005,93.62
5987,335272,559965.22,-224693.21999999997,93.53
5952,333312,559982.0800000001,-226670.08000000007,94.08
5977,334712,560022.45,-225310.44999999995,93.7
5977,334712,559975.6000000001,-225263.6000000001,93.69
6014,336784,560011.8400000001,-223227.84000000008,93.12
6006,336336,559999.72,-223663.71999999997,93.24
6010,336560,559959.31,-223399.31000000006,93.17
5987,335272,560011.99,-224739.99,93.54
5987,335272,559965.22,-224693.21999999997,93.53
6022,337232,559976.5,-222744.5,92.99
6028,337568,560000.6000000001,-222432.6000000001,92.9
5990,335440,559925.86,-224485.86,93.48
6027,337512,559967.96,-222455.95999999996,92.91
6027,337512,559967.96,-222455.95999999996,92.91
6023,337288,559962.78,-222674.78000000003,92.97
6040,338240,559968.04,-221728.04000000004,92.71
6031,337736,560019.3300000001,-222283.33000000007,92.86
5988,335328,559998.88,-224670.88,93.52
