Quantity of product,Income,Cost,Net Income,Avg Cost
4733,265048,616732.12,-351684.12,130.3
4754,266224,616990.7,-350766.69999999995,129.78
4758,266448,617104.3,-350656.30000000005,129.7
4758,266448,617036.45,-350588.44999999995,129.68
4731,264936,616684.4,-351748.4,130.35
4729,264824,616683.8799999999,-351859.8799999999,130.4
4753,266168,616967.3200000001,-350799.32000000007,129.81
4740,265440,616871.8,-351431.80000000005,130.14
4753,266168,616967.3200000001,-350799.32000000007,129.81
4752,266112,616943.9199999999,-350831.9199999999,129.83
4732,264992,616776.44,-351784.43999999994,130.34
4743,265608,616827.26,-351219.26,130.05
4725,264600,616703.5,-352103.5,130.52
4737,265272,616782.96,-351510.95999999996,130.21
4732,264992,616708.27,-351716.27,130.33
4728,264768,616731.1599999999,-351963.1599999999,130.44
4744,265664,616918.88,-351254.88,130.04
4744,265664,616853.86,-351189.86,130.03
4755,266280,617081.95,-350801.94999999995,129.78
4723,264488,616655.44,-352167.43999999994,130.56
4714,263984,616511.2,-352527.19999999995,130.78
4728,264768,616728.1599999999,-351960.1599999999,130.44
4731,264936,616684.4,-351748.4,130.35
4726,264656,616662.25,-352006.25,130.48
4736,265216,616756.2,-351540.19999999995,130.23
4741,265496,616895.46,-351399.45999999996,130.12
4751,266056,616988.43,-350932.43000000005,129.86
4731,264936,616752.5800000001,-351816.5800000001,130.36
4744,265664,616918.88,-351254.88,130.04
4736,265216,616756.2,-351540.19999999995,130.23
4739,265384,616780.04,-351396.04000000004,130.15
4721,264376,616654.51,-352278.51,130.62
4722,264432,616610.3,-352178.30000000005,130.58
4754,266224,616990.7,-350766.69999999995,129.78
4720,264320,616562.08,-352242.07999999996,130.63
4709,263704,616505.1399999999,-352801.1399999999,130.92
4741,265496,616827.4,-351331.4,130.1
4735,265160,616800.55,-351640.55000000005,130.26
4746,265776,616966.0,-351190.0,130.0
4732,264992,616708.27,-351716.27,130.33
4746,265776,616969.0,-351193.0,130.0
4740,265440,616871.8,-351431.80000000005,130.14
4715,264040,616556.7,-352516.69999999995,130.76
4744,265664,616850.86,-351186.86,130.03
4730,264880,616776.0,-351896.0,130.4
4727,264712,616704.21,-351992.20999999996,130.46
4751,266056,616988.43,-350932.43000000005,129.86
4732,264992,616776.44,-351784.43999999994,130.34
4742,265552,616851.05,-351299.05000000005,130.08
4737,265272,616779.96,-351507.95999999996,130.2
4716,264096,616580.92,-352484.92000000004,130.74
4744,265664,616918.88,-351254.88,130.04
4729,264824,616683.8799999999,-351859.8799999999,130.4
4748,265888,616965.56,-351077.56000000006,129.94
4756,266336,616989.8500000001,-350653.8500000001,129.73
4752,266112,616943.9199999999,-350831.9199999999,129.83
4736,265216,616824.3200000001,-351608.32000000007,130.24
4724,264544,616611.21,-352067.20999999996,130.53
4724,264544,616679.48,-352135.48,130.54
4760,266560,617103.2,-350543.19999999995,129.64
4730,264880,616710.8,-351830.80000000005,130.38
4733,265048,616732.12,-351684.12,130.3
4706,263536,616410.5,-352874.5,130.98
4731,264936,616684.4,-351748.4,130.35
4739,265384,616851.12,-351467.12,130.16
4729,264824,616683.8799999999,-351859.8799999999,130.4
4745,265720,616942.45,-351222.44999999995,130.02
4709,263704,616436.6799999999,-352732.67999999993,130.91
4749,265944,616921.08,-350977.07999999996,129.91
4749,265944,616989.04,-351045.04000000004,129.92
4743,265608,616827.26,-351219.26,130.05
4722,264432,616610.3,-352178.30000000005,130.58
4718,264208,616629.3,-352421.30000000005,130.7
4728,264768,616728.1599999999,-351960.1599999999,130.44
4757,266392,617081.02,-350689.02,129.72
4705,263480,616454.55,-352974.55000000005,131.02
4729,264824,616683.8799999999,-351859.8799999999,130.4
4727,264712,616635.98,-351923.98,130.45
4738,265328,616806.7,-351478.69999999995,130.18
4743,265608,616895.29,-351287.29000000004,130.06
4713,263928,616555.33,-352627.32999999996,130.82
4722,264432,616678.6,-352246.6,130.6
4713,263928,616486.9199999999,-352558.9199999999,130.81
4758,266448,617036.45,-350588.44999999995,129.68
4707,263592,616434.94,-352842.93999999994,130.96
4742,265552,616851.05,-351299.05000000005,130.08
4750,266000,616944.55,-350944.55000000005,129.88
4737,265272,616848.0700000001,-351576.07000000007,130.22
4741,265496,616827.4,-351331.4,130.1
4744,265664,616918.88,-351254.88,130.04
4722,264432,616678.6,-352246.6,130.6
4736,265216,616756.2,-351540.19999999995,130.23
4745,265720,616874.44,-351154.43999999994,130.01
4731,264936,616752.5800000001,-351816.5800000001,130.36
4748,265888,616897.59,-351009.58999999997,129.93
4737,265272,616779.96,-351507.95999999996,130.2
4734,265104,616755.95,-351651.94999999995,130.28
4744,265664,616850.86,-351186.86,130.03
4763,266728,617172.77,-350444.77,129.58
4711,263816,616438.3,-352622.30000000005,130.85
